what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1495075046464
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1495075047118
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1495075047611
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1495075051761
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1495075056151
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495075057880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075058800
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075067732
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495075087999
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495075110515
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1495075115184
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075118565
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075119798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075124213
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075149360
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495075155239
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1495075157935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075160259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075164754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075172558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075172958
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075173336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075173851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075174272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075174911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075175333
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075175785
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075176191
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075177400
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075177783
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075178252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1495075178891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495075182306
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1495075183699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075185789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075193256
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075197173
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075827232
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495075860335
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1495075863979
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495075872190
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495075878451
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1495075898331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075901586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075912020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495075921159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495076341035
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1495076342985
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495076343001
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1495076343032
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1495076345185
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495076345200
closed,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1495076345231
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495076350942
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1495076351020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495076448116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495076449349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495076449797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495078186278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495078188366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495078194390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495078196028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495078198340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495078248164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495078249100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495079639698
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495079645061
activated,perspective,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui.JavaPerspective",1495079648446
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495079652493
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1495079652538
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1495079652553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495079685137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495079784055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495079785737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495079795076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495079823820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495079890968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495079895555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495079915614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495079925163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495080046085
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495080065311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495080070249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495080087247
started,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1495080093469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495080102097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495080142622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495080211657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495080215032
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495080216065
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1495080216160
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495080216533
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1495080218710
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1495080218780
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1495080218850
