what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495522549517
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495522579223
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495522579286
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495522584615
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495522586097
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495522586175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522593344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522645535
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495522648058
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495522648293
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495522648362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1495522664564
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522675491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522676786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522677629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522708872
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1495522713164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1495522717121
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1495522719932
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522728157
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522730819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522731864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522734003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522734003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522735407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495522736328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495529532138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495529550775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495529556926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495529559858
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1495529566473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495529577343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495529580731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495529595157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495529603371
