what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1495094407643
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495094409168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495094421837
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1495094448597
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495094451606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094480216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094480300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1495094501694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1495094503560
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1495094520043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495094523102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094562223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094566519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495094681438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094681668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094685116
error,log,,,"Invalid stack frame",1495094700687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1495094727640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495094728897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495094733104
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495094739030
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094739240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094740407
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1495094756138
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495094756648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094817945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094826484
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495094854569
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094970327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094981771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495094986968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095075508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095115376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095115464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1495095121177
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495095124062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495095128627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495095130771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095130958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095131854
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1495095134608
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495095135194
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495095139243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095144047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095144843
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095145586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095147354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095149052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095158180
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095160131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095179436
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495095183734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495096599920
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495096605584
