what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921082862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921086525
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921086544
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1494921086544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921088898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921089252
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921089281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1494921089281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921091715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921092017
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921092055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1494921092055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921093104
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921093412
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921093440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1494921093441
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921094169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921094387
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921094409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1494921094409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921094928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921095135
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921095152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1494921095152
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921095718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921095833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1494921095842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921096366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921096387
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1494921096392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921097099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921097560
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921097585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1494921097585
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921098147
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921101804
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921101831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1494921101831
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1494921115283
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921121509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921122343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921202758
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1494921220194
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1494921227905
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921229136
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921235186
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921236818
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921242361
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921268858
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921268895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.newEditor",1494921268896
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921271634
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921272743
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921273440
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921274788
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921276275
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921276276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921278129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1494921329678
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921336095
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921338583
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1494921339825
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1494921344633
