what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1498627839306
started,bundle,org.eclipse.jpt.core,2.3.3.v201102172310,"org.eclipse.jpt.core",1498627963639
started,bundle,org.eclipse.jst.jsf.common,1.2.2.v201101211220,"org.eclipse.jst.jsf.common",1498627963689
started,bundle,org.eclipse.jst.jsf.core,1.3.3.v201102021253,"org.eclipse.jst.jsf.core",1498627963706
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.402.v201102071010,"org.eclipse.jst.j2ee.ejb",1498627964077
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1498627964092
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1498627964133
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1498627964148
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1498627964249
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1498627965007
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1498627965673
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1498627966011
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1498627966055
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1498627966124
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.AllMarkersView",1498627966278
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.J2EEPerspective",1498627966527
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1498627966572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498627967509
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1498627977829
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1498627978792
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1498627980312
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1498627981295
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1498627981615
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1498627981790
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1498627984072
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1498627984399
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1498627985661
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1498628007344
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1498628026005
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628027507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628118086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628129222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628137674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628157652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628167523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628167886
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1498628170410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628176832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628194158
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1498628200993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628201620
started,bundle,org.eclipse.emf.codegen,2.6.0.v20100914-1218,"org.eclipse.emf.codegen",1498628261479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628262823
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1498628265835
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1498628269692
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1498628270388
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1498628292038
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1498628295639
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628315378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628424413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628426190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628660116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628669816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628737829
activated,perspective,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui.webDevPerspective",1498628758467
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1498628769061
